CSDP Network Summary Report for Elevation=0.0

Network path: D:\dsm2GisReference\csdpFiles\final\delta_2019Calib_navd88.cdn
DSM2 channels path: D:\delta\dsm2_v8.2beta_2_newGeomTest\common_input\channel_std_delta_grid_NAVD_20150129.inp
DSM2 output path: D:\delta\dsm2_v8.2beta_2_newGeomTest\studies\testGeom\output\historical_v82.hof

Channels.inp length: length specified for DSM2 in the DSM2 channels file above.
CSDP length: length calculated by the CSDP that will be used to replace the 'Channels.inp length'.
% change: the change in length CSDP vs Channels.inp
CSDP Average width
CSDP Volume: Channel volume calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Wetted Area: Wetted area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Surface Area: Surface area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using CSDP cross-sections
DSM2 Volume: Channel volume calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Wetted Area: Wetted area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Surface Area: Surface area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using virtual cross-sections
GIS 2m Volume: Channel volume calculated at specified elevation using CutFill operation with 2m DEM
GIS 2m Area: Channel 2D area calculated at specified elevation using CutFill operation with 2m DEM
GIS 10m Volume: Channel volume calculated at specified elevation using CutFill operation with 10m DEM
GIS 10m Area: Channel 2D area calculated at specified elevation using CutFill operation with 10m DEM
CSDP highest bottom elevation: The highest bottom elevation of all the cross-sections within the chanenl.
CSDP XS with no points: The indices of the cross-sections in the channel that have no points.
CSDP XS within 500.0 feet: The indices of the cross-sections in the channel that are within 500.0 feet of each other.
CSDP XS with Min area: The index of the cross-section in the channel that has the smallest area at the specified elevation
CSDP XS with Max area: The index of the cross-section in the channel that has the largest area at the specified elevation
CSDP XS with duplicate stations: The indices of the cross-sections in the channel that have duplicate station values.
CSDP XS with -dK: The indices of the cross-sections in the channel that have negative dConveyance at any elevation.
CSDP XS with -dK in intertidal zone: the indices of the cross-sections in the channel that have negative dConveyance in the intertidal zone.
(intertidal zone is assumed to be limited to the range -2.5 < Z < 17.5 ft NAVD88)

Channel	Channels.inp length	CSDP Length	% change	CSDP Average Width	CSDP Volume	CSDP Wetted Area	CSDP Surface Area	CSDP Max Area Ratio	DSM2 Volume	DSM2 Wetted Area	DSM2 Surface Area	DSM2 Max Area Ratio	GIS 2m Max Volume	GIS 2m Max Area	GIS 10m Max Volume	GIS 10m Max Area	DSM2-2m Vol	DSM2-10m Vol	2m Vol % diff	10m Vol % diff	CSDP Avg Width	2m Width Ratio	10m Width Ratio	2m Validity	10m Validity	Valid 2m Max Vol	Valid 10m Max Vol	DSM2-Valid 2m Max Vol	DSM2-Valid 10m Max Vol	Valid 2m Vol % diff	Valid 10m Vol % diff	CSDP Highest Bottom Elevation	CSDP XS with no points	CSDP XS within 500.0 feet	CSDP XS with Min area	CSDP XS with Max area	CSDP XS with duplicate stations	CSDP XS With -dk	CSDP XS with -dk in intertidal zone
164	3332.0	3069	-8	904	35544797.0	2851775.5	2774660.2	1.49	34438697.5	2723541.6	2646418.3	1.04	null	null	25882991.2	2119411.9		8555706.3		33.1	904.1		27.6		true		25882991.2		8555706.3		33.1	-27.19			1	0			
165	3743.0	3686	-2	520	30463585.2	2001707.9	1915580.3	1.42	30253652.8	2180829.9	2093232.2	1.05	null	null	32935831.2	2435870.6		-2682178.4		-8.1	519.7		15.8		true		32935831.2		-2682178.4		-8.1	-34.98			1	0	0,2		
166	3265.0	3265	-0	461	18656835.9	1087706.5	1035560.6	1.00	18436894.5	1077508.9	1029570.9	1.05	null	null	13281576.2	918160.7		5155318.4		38.8	461.1		14.1		true		13281576.2		5155318.4		38.8	-30.79			0	0			
167	3407.0	3407	0	307	19131992.7	1098838.0	1046276.2	1.12	19251418.6	1104406.3	1049440.7	1.06	null	null	17148924.3	998889.9		2102494.3		12.3	307.1		9.4		true		17148924.3		2102494.3		12.3	-27.84			0	1		1	
168	6624.0	6597	-0	315	41987752.8	2125528.5	2075019.8	3.23	40368212.1	2079765.3	2030205.5	1.91	null	null	49423522.9	2385280.2		-9055310.9		-18.3	314.5		9.6		true		49423522.9		-9055310.9		-18.3	-21.03			0	1			
169	8000.0	8285	4	31	130771.4	257271.8	257017.5	Infinity	168875.6	300894.8	300621.6	2.14	0.0	0.0	398703.0	290625.3	168875.6	-229827.4	Infinity	-57.6	31.0	4.7	0.9	false	false							0.35			0	2			
170	6800.0	6157	-9	84	649976.8	519319.8	518462.3	2.47	942724.4	559803.8	558533.3	2.73	null	null	766117.1	512361.6		176607.3		23.1	84.2		2.6		false							-1.32			0	2			
171	5300.0	4758	-10	123	2253699.6	595833.4	586610.9	1.87	2225669.3	608687.5	600125.8	1.32	null	null	1070176.7	461771.3		1155492.6		108.0	123.3		3.8		true		1070176.7		1155492.6		108.0	-3.75			0	2		1	1
172	4805.0	4318	-10	347	15237552.3	1518762.6	1500190.6	1.25	15499830.5	1675265.3	1652058.6	1.11	15323636.0	1438702.9	17516020.6	1600591.9	176194.5	-2016190.1	1.1	-11.5	347.4	52.9	10.6	false	true		17516020.6		-2016190.1		-11.5	-13.53			1	0		1	1
173	5701.0	5875	3	424	20763598.4	2543036.8	2489338.5	1.32	21648758.4	2393735.5	2349177.0	1.25	null	null	27507573.3	2199064.8		-5858814.9		-21.3	423.7		12.9		true		27507573.3		-5858814.9		-21.3	-12.56			0	2		0,2	
174	4494.0	4279	-5	345	17447872.0	1507599.4	1474338.2	1.35	16035501.6	1436695.1	1400533.4	1.18	null	null	21574315.3	1979481.2		-5538813.7		-25.7	344.5		10.5		true		21574315.3		-5538813.7		-25.7	-18.40			1	0			
175	4956.0	5061	2	349	27845135.0	1798445.3	1764599.0	1.67	27451489.2	1806973.7	1775427.0	1.57	null	null	22248755.5	1554307.2		5202733.7		23.4	348.7		10.6		true		22248755.5		5202733.7		23.4	-18.20			0	2			
176	4247.0	5047	19	346	28490178.8	1775210.7	1744269.7	1.15	27017472.4	1757265.5	1726130.2	1.11	null	null	24086885.6	1633960.0		2930586.8		12.2	345.6		10.5		true		24086885.6		2930586.8		12.2	-21.20			1	0			
177	4363.0	3862	-11	328	26427238.7	1307207.6	1266118.1	1.30	25696097.6	1288950.8	1248829.5	1.30	null	null	22457747.7	1289515.2		3238349.9		14.4	327.8		10.0		true		22457747.7		3238349.9		14.4	-22.43			1	2			
178	5621.0	5997	7	250	33439930.3	1588149.1	1496405.8	1.17	33507781.2	1589874.3	1497199.7	1.04	25948971.9	1267556.9	29095941.4	1499411.3	7558809.2	4411839.8	29.1	15.2	249.5	38.0	7.6	false	true		29095941.4		4411839.8		15.2	-33.63			0	1			
179	3066.0	3331	9	594	7846149.4	1982470.0	1979194.8	1.69	7953064.4	2002992.9	1999712.5	1.18	8778699.3	1197936.0	9650780.1	1314272.2	-825634.9	-1697715.7	-9.4	-17.6	594.1	90.5	18.1	false	true		9650780.1		-1697715.7		-17.6	-9.03			1	2			
180	9770.0	9769	-0	237	22279636.2	2348824.0	2317610.4	2.54	23994589.9	2496068.9	2466599.6	1.25	null	null	17802987.8	2332537.1		6191602.0		34.8	237.2		7.2		true		17802987.8		6191602.0		34.8	-10.22			0	1			
181	7072.0	6210	-12	922	52167387.1	5756887.2	5724979.5	4.42	39543181.6	4139911.2	4110458.1	1.07	null	null	20079832.5	2215210.6		19463349.1		96.9	921.8		28.1		true		20079832.5		19463349.1		96.9	-12.71			0	2			
182	4286.0	4309	1	342	14132372.9	1501980.5	1473752.4	1.84	18767956.4	2155961.5	2125588.6	1.66	null	null	16935270.3	1518786.3		1832686.1		10.8	342.0		10.4		true		16935270.3		1832686.1		10.8	-13.04			2	1			
183	4506.0	3931	-13	118	583654.6	465067.3	464568.7	3.74	614308.3	469433.4	468897.8	3.58	683005.3	456260.2	676520.0	454236.6	-68697.0	-62211.7	-10.1	-9.2	118.2	18.0	3.6	true	true	683005.3	676520.0	-68697.0	-62211.7	-10.1	-9.2	-0.76			2	0			
184	8869.0	6231	-30	128	1948518.7	803223.9	800070.4	1.13	1979139.3	831954.8	829067.4	1.12	996144.2	425561.6	1674077.9	737327.2	982995.1	305061.4	98.7	18.2	128.4	19.6	3.9	false	true		1674077.9		305061.4		18.2	-2.86			0	1			
185	4600.0	4462	-3	28	110643.8	126630.4	126306.5	27875.51	107667.6	136594.4	136274.3	8.82	null	null	50040.9	52743.1		57626.7		115.2	28.3		0.9		false							-0.01			2	0			
186	4600.0	3173	-31	4	1878.9	14227.8	14219.9	Infinity	1012.7	7860.7	7856.5	Infinity	null	null	459.1	2152.8		553.6		120.6	4.5		0.1		false							0.22			1	0			
187	3200.0	4380	37	6	2013.3	24629.9	24606.4	Infinity	1903.5	21969.1	21947.2	2.98	null	null	3990.6	3229.2		-2087.1		-52.3	5.6		0.2		false							0.48			0	1			
188	2641.0	2883	9	0	0.0	0.0	0.0	NaN	894.9	7903.5	7899.3	Infinity	null	null	882.9	3229.2		12.1		1.4	0.0		0.0		false							0.88			0	0			
189	2562.0	3959	55	6	3024.4	22898.2	22888.7	Infinity	950.4	7313.6	7310.4	NaN	null	null	8934.6	21527.8		-7984.3		-89.4	5.8		0.2		false							0.95			1	0			
190	2315.0	3715	60	19	19299.2	72336.2	72264.1	Infinity	54079.7	79100.5	78974.0	4.84	null	null	5226.6	5382.0		48853.1		934.7	19.5		0.6		false							1.17			2	1			
191	3596.0	4494	25	34	163346.6	153276.0	153003.0	Infinity	64070.6	81723.9	81615.2	24.65	null	null	14267.1	15069.5		49803.5		349.1	34.0		1.0		false							0.33			1	0			
192	1709.0	3520	106	39	53680.9	135994.7	135896.4	2.75	52170.4	128999.2	128888.0	2.69	null	null	2719.2	4305.6		49451.2		1818.6	38.6		1.2		false							-0.57			1	2			
193	1508.0	3610	139	64	215158.5	231113.2	230779.6	3.66	187065.9	224329.6	224043.7	1.14	null	null	36409.5	58125.1		150656.4		413.8	63.9		1.9		false							-1.02			0	2			
194	1946.0	2132	10	77	242736.3	165287.9	164636.8	6.77	251957.8	173214.0	172595.5	3.02	0.0	0.0	89770.0	51666.7	251957.8	162187.8	Infinity	180.7	77.2	11.8	2.4	false	false							-0.90			0	2			
195	3045.0	3229	6	22	172589.0	75815.9	70292.9	4.20	158475.3	73340.2	68103.2	3.35	null	null	null	null					21.8											-3.35			1	2			
196	8526.0	8726	2	34	378341.8	298676.1	295117.8	1.48	592284.7	378371.1	371598.5	1.37	null	null	null	null					33.8											-2.05			2	1			
197	7205.0	7585	5	55	696985.7	423927.7	420872.4	1387.93	657273.1	361803.5	358735.6	3.38	null	null	18045.8	12916.7		639227.3		3542.2	55.5		1.7		false							-0.02			1	2			
198	7231.0	7290	1	68	983865.6	502231.5	497575.4	1.81	778250.2	383343.4	379068.0	3.17	null	null	473005.1	189444.6		305245.1		64.5	68.3		2.1		false							-1.85			1	0			
199	6662.0	7108	7	0	0.0	0.0	0.0	NaN	60751.0	39602.3	39415.2	NaN	120.9	129.2	11583.2	8611.1	60630.1	49167.8	50157.3	424.5	0.0	0.0	0.0	false	false							10.52			0	0			
201	7630.0	10692	40	38	383387.3	405652.2	404940.0	Infinity	360659.4	379791.7	379119.8	Infinity	null	null	53501.8	83958.4		307157.6		574.1	37.9		1.2		false							1.06			1	3			
202	7019.0	6634	-5	103	804993.5	688421.3	686508.0	1.68	571722.2	521087.4	519852.7	1.68	446990.7	305737.8	442147.5	304618.4	124731.5	129574.6	27.9	29.3	103.5	15.8	3.2	false	true		442147.5		129574.6		29.3	-1.14			1	2			
203	6789.0	6968	3	126	3299739.4	887607.3	876385.1	2.39	3255093.8	892597.5	881745.8	1.50	3136587.2	877860.6	3137467.8	871875.9	118506.6	117625.9	3.8	3.7	125.8	19.2	3.8	true	true	3136587.2	3137467.8	118506.6	117625.9	3.8	3.7	-4.11			0	2			
204	7297.0	6814	-7	18	23887.9	121198.7	121162.8	Infinity	26020.9	134438.0	134399.4	Infinity	173737.3	347760.1	163177.7	315382.3	-147716.4	-137156.8	-85.0	-84.1	17.8	2.7	0.5	false	false							0.71			0	1			
205	4630.0	4304	-7	288	6612809.3	1251093.3	1239601.1	1.96	6575038.1	1255444.1	1244039.1	1.87	7242178.2	1143858.1	7272323.2	1138820.6	-667140.2	-697285.2	-9.2	-9.6	288.0	43.9	8.8	true	true	7242178.2	7272323.2	-667140.2	-697285.2	-9.2	-9.6	-4.51			1	2		0	0
206	5533.0	5540	0	205	12302784.9	1168941.9	1136324.0	1.32	11883613.0	1306698.1	1277444.5	1.21	13566846.6	1165170.6	13482363.6	1130209.5	-1683233.6	-1598750.6	-12.4	-11.9	205.1	31.3	6.3	true	true	13566846.6	13482363.6	-1683233.6	-1598750.6	-12.4	-11.9	-14.57			1	2			
207	2534.0	3664	45	321	7535846.1	1189764.2	1175839.8	1.40	7461158.7	1183105.2	1169218.4	1.23	7027150.6	1021881.6	7060129.2	1030105.2	434008.2	401029.5	6.2	5.7	320.9	48.9	9.8	true	true	7027150.6	7060129.2	434008.2	401029.5	6.2	5.7	-9.54			1	0			
208	4235.0	3514	-17	324	7334465.0	1157187.7	1139535.5	1.21	7487206.4	1175634.6	1158746.9	1.14	4318802.5	619182.6	4289958.6	604931.2	3168403.8	3197247.8	73.4	74.5	324.3	49.4	9.9	true	true	4318802.5	4289958.6	3168403.8	3197247.8	73.4	74.5	-7.64			0	2			
209	3553.0	3679	4	351	8380628.7	1310222.9	1292814.5	1.06	8471959.4	1327545.6	1310632.6	1.06	4804088.2	664649.3	4772308.3	673820.1	3667871.1	3699651.1	76.3	77.5	351.4	53.5	10.7	true	true	4804088.2	4772308.3	3667871.1	3699651.1	76.3	77.5	-8.03			2	1			
210	3636.0	3526	-3	380	7812930.3	1355246.1	1340944.0	1.09	7694990.9	1348761.0	1335026.1	1.02	4951153.2	646953.4	4942009.2	641528.4	2743837.7	2752981.7	55.4	55.7	380.4	58.0	11.6	true	true	4951153.2	4942009.2	2743837.7	2752981.7	55.4	55.7	-7.91			2	0			
211	4032.0	4163	3	406	10624140.7	1707628.2	1688234.4	1.23	10508913.4	1675128.4	1656367.5	1.06	11112502.3	1771350.4	11199784.6	1765279.6	-603588.8	-690871.1	-5.4	-6.2	405.5	61.8	12.4	true	true	11112502.3	11199784.6	-603588.8	-690871.1	-5.4	-6.2	-8.04			0	2		1	1
212	6906.0	6780	-2	394	19557357.2	2704449.0	2673301.3	1.04	19536887.5	2697949.6	2666911.9	1.03	20815505.6	2636768.0	20894124.9	2623162.4	-1278618.1	-1357237.3	-6.1	-6.5	394.3	60.1	12.0	true	true	20815505.6	20894124.9	-1278618.1	-1357237.3	-6.1	-6.5	-8.32			0	2	1		
213	4893.0	4925	1	346	15387455.2	1730484.5	1705962.4	1.17	15502596.9	1759207.8	1734342.1	1.17	17054914.6	1715033.7	16811528.7	1685626.7	-1552317.6	-1308931.8	-9.1	-7.8	346.4	52.8	10.6	true	true	17054914.6	16811528.7	-1552317.6	-1308931.8	-9.1	-7.8	-15.10			2	1	0		
214	4500.0	5049	12	264	11431511.0	1282079.1	1271146.4	1.00	11709132.4	1300334.0	1289248.2	1.02	576063.9	62172.3	787382.4	90416.8	11133068.5	10921750.0	1932.6	1387.1	264.0	40.2	8.0	false	true		787382.4		10921750.0		1387.1	-14.21			0	0			
215	12951.0	7268	-44	8464	100165106.8	41676106.1	41675737.5	1.00	102166653.4	40549728.0	40549371.4	1.09	null	null	78378575.6	32551110.0		23788077.9		30.4	8463.6		258.0		true		78378575.6		23788077.9		30.4	-2.51			0	0			
216	8000.0	7401	-7	390	18141344.4	1970383.0	1953598.7	1.00	17997760.7	1960898.4	1944190.9	1.03	null	null	null	null					390.1											-14.67			0	0			
217	4240.0	3815	-10	264	5407190.4	735735.9	722606.5	1.00	5422669.4	738568.4	725410.4	1.01	702948.7	103290.4	6451922.4	1037640.0	4719720.7	-1029253.1	671.4	-16.0	264.4	40.3	8.1	false	true		6451922.4		-1029253.1		-16.0	-10.32			0	0			
218	4301.0	3522	-18	318	5094416.0	698800.3	686484.1	1.00	5082716.4	696463.5	684171.4	1.00	null	null	6443378.9	806216.1		-1360662.5		-21.1	318.2		9.7		true		6443378.9		-1360662.5		-21.1	-10.65			0	0			
219	2136.0	1716	-20	356	3044164.0	423032.3	420628.5	1.00	3056511.3	424522.1	422120.4	1.01	null	null	2022084.4	332604.5		1034426.9		51.2	356.4		10.9		true		2022084.4		1034426.9		51.2	-11.18			0	0			
220	2926.0	2926	-0	274	5543643.4	761189.4	757214.5	1.00	5411629.7	746411.4	742388.0	1.02	null	null	4045016.4	441319.9		1366613.3		33.8	274.4		8.4		true		4045016.4		1366613.3		33.8	-11.28			0	0			
221	2456.0	2301	-6	156	1977806.6	260649.1	244908.7	1.00	1977862.2	260655.3	244912.4	1.00	null	null	3490010.5	466076.9		-1512148.3		-43.3	156.2		4.8		true		3490010.5		-1512148.3		-43.3	-9.33			0	0			
222	2745.0	2746	0	401	5480167.4	743391.9	739412.2	1.00	5380281.8	736000.4	731912.0	1.08	null	null	4255597.9	503750.5		1124683.9		26.4	400.9		12.2		true		4255597.9		1124683.9		26.4	-12.30			0	0			
223	2602.0	2601	-0	386	4459443.7	651532.3	646983.8	1.00	4546307.7	657529.1	653070.7	1.00	null	null	4469075.3	488681.1		77232.4		1.7	385.6		11.8		true		4469075.3		77232.4		1.7	-11.65			0	0			
224	2793.0	2793	-0	381	5024211.7	750957.5	746368.3	1.00	5023539.1	750943.5	746356.4	1.00	null	null	2878465.9	456389.4		2145073.2		74.5	381.2		11.6		true		2878465.9		2145073.2		74.5	-11.77			0	0			
225	2722.0	2721	-0	471	5141366.5	697273.2	691521.5	1.00	5142167.0	697248.6	691497.4	1.00	2123978.2	253554.4	5852428.4	672743.8	3018188.7	-710261.5	142.1	-12.1	471.5	71.8	14.4	false	true		5852428.4		-710261.5		-12.1	-13.56			0	0			
226	4153.0	4133	-0	729	19001635.3	1678770.7	1631232.9	1.00	18042503.4	1710796.5	1669867.5	1.07	14545978.1	1474998.7	14580232.1	1474654.3	3496525.3	3462271.3	24.0	23.7	728.9	111.1	22.2	true	true	14545978.1	14580232.1	3496525.3	3462271.3	24.0	23.7	-18.21			0	0			
227	4789.0	4789	-0	689	18303299.1	2068285.3	2038851.7	1.00	19016133.8	2039923.5	2007859.8	1.05	19739700.6	2007639.6	19706001.0	2003161.8	-723566.8	-689867.2	-3.7	-3.5	689.2	105.0	21.0	true	true	19739700.6	19706001.0	-723566.8	-689867.2	-3.7	-3.5	-19.68			0	0		0	0
228	3218.0	3211	-0	412	12496852.2	1340028.3	1321334.3	1.07	12464105.6	1339749.6	1321112.4	1.00	7142875.2	697457.7	7147878.8	692118.8	5321230.4	5316226.8	74.5	74.4	411.5	62.7	12.5	true	true	7142875.2	7147878.8	5321230.4	5316226.8	74.5	74.4	-14.81			2	0			
229	3048.0	3040	-0	408	10813685.6	1255531.0	1240354.2	1.12	10811885.7	1255730.9	1240565.2	1.00	11483592.0	1329513.9	11469998.7	1332570.8	-671706.3	-658113.0	-5.8	-5.7	408.1	62.2	12.4	true	true	11483592.0	11469998.7	-671706.3	-658113.0	-5.8	-5.7	-14.97			1	0			
230	5712.0	5737	0	387	21789491.9	2255763.5	2218330.5	1.10	21760938.7	2257215.5	2220070.6	1.07	13598998.8	1170251.2	13557122.4	1168959.5	8161939.9	8203816.3	60.0	60.5	386.6	58.9	11.8	true	true	13598998.8	13557122.4	8161939.9	8203816.3	60.0	60.5	-15.52			0	2			
231	4313.0	4613	7	292	9837335.2	1362991.6	1347443.8	3.20	9747603.8	1379655.7	1364594.9	1.05	6520834.5	983002.4	6474768.8	978438.5	3226769.2	3272835.0	49.5	50.5	292.1	44.5	8.9	true	true	6520834.5	6474768.8	3226769.2	3272835.0	49.5	50.5	-10.36			1	0			
232	3088.0	3084	-0	241	13700392.8	775668.9	744501.5	1.09	13682046.1	776482.7	745424.9	1.09	14177079.4	766648.0	14136770.8	769618.9	-495033.3	-454724.7	-3.5	-3.2	241.4	36.8	7.4	true	true	14177079.4	14136770.8	-495033.3	-454724.7	-3.5	-3.2	-23.26			1	2		2	
233	4028.0	4719	17	318	11872086.0	1538015.9	1501364.8	2.05	12218506.3	1547665.1	1514893.9	1.82	470569.8	55154.2	11489853.8	1547848.8	11747936.5	728652.5	2496.5	6.3	318.2	48.5	9.7	false	true		11489853.8		728652.5		6.3	-12.91			0	2			
234	4922.0	4808	-2	353	14233136.1	1719153.9	1694922.9	1.71	14672121.9	1758730.0	1761151.7	1.68	null	null	18417569.6	1947189.5		-3745447.7		-20.3	352.6		10.7		true		18417569.6		-3745447.7		-20.3	-10.53			1	2			
235	3920.0	4048	3	319	7645995.4	1301616.6	1291858.4	1.57	9446989.0	1347538.8	1358966.2	1.21	5925571.0	1000310.8	8379273.4	1198022.1	3521418.0	1067715.6	59.4	12.7	319.1	48.6	9.7	false	true		8379273.4		1067715.6		12.7	-10.59			2	0			
236	3609.0	4005	11	418	14269904.0	1687831.8	1675128.0	1.98	14476941.3	1717143.7	1695179.6	1.64	460768.9	53561.2	15089721.8	1504793.2	14016172.4	-612780.5	3041.9	-4.1	418.3	63.7	12.7	false	true		15089721.8		-612780.5		-4.1	-15.30			1	2			
237	4263.0	4056	-5	520	16380374.8	2116806.5	2109829.2	5.75	17123537.4	2201412.5	2188562.5	4.01	null	null	17853064.1	2439099.7		-729526.6		-4.1	520.1		15.9		true		17853064.1		-729526.6		-4.1	-6.11			2	0		1,2	2
238	5724.0	5477	-4	467	12579824.9	2572892.0	2559771.0	2.01	8058226.8	1677213.7	1660801.9	1.46	null	null	7833789.3	1791113.0		224437.6		2.9	467.4		14.2		true		7833789.3		224437.6		2.9	-7.00			1	0			
239	3820.0	4396	15	134	2883344.3	597030.8	589261.9	1.87	3368083.9	732695.8	724957.1	1.86	null	null	3332860.1	736250.8		35223.8		1.1	134.0		4.1		true		3332860.1		35223.8		1.1	-5.56			2	0			
240	3571.0	4448	25	171	3241081.9	766345.6	762195.8	1.40	3283163.4	774081.6	770013.5	1.40	null	null	3518933.3	850348.1		-235769.8		-6.7	171.4		5.2		true		3518933.3		-235769.8		-6.7	-4.86			2	1		0	0
241	5416.0	4787	-12	185	5284744.6	901406.4	885162.7	1.93	5889668.1	896397.2	880150.0	1.48	null	null	4551464.5	825591.1		1338203.6		29.4	184.9		5.6		true		4551464.5		1338203.6		29.4	-8.21			0	2			
242	4661.0	4708	1	326	11981465.7	1552398.8	1535500.4	1.27	11697132.7	1490485.2	1474551.4	1.03	null	null	10506335.1	1431598.7		1190797.5		11.3	326.2		9.9		true		10506335.1		1190797.5		11.3	-10.22			0	1			
243	5093.0	5179	2	341	14657430.9	1791983.6	1767133.4	1.21	14763320.8	1835203.5	1810326.5	1.20	null	null	13723469.0	1760974.0		1039851.8		7.6	341.2		10.4		true		13723469.0		1039851.8		7.6	-11.29			2	1			
244	4803.0	5409	13	389	22028408.9	2140199.4	2103975.9	1.55	21726343.4	2112788.8	2075863.4	1.28	220430.6	16619.5	12800179.9	1568300.2	21505912.8	8926163.6	9756.3	69.7	389.0	59.3	11.9	false	true		12800179.9		8926163.6		69.7	-16.75			1	2			
245	4331.0	4480	3	382	10375427.7	1731510.8	1712348.5	1.23	10324786.5	1725747.8	1706182.9	1.13	null	null	8472561.6	1665175.3		1852225.0		21.9	382.2		11.7		true		8472561.6		1852225.0		21.9	-10.10			0	2			
246	4948.0	4758	-4	320	8677993.7	1533796.5	1520893.5	2.02	8587807.8	1502421.2	1488550.1	1.86	null	null	8622507.8	1709307.3		-34700.0		-0.4	319.6		9.7		true		8622507.8		-34700.0		-0.4	-8.14			0	2			
247	5009.0	5622	12	156	4305593.0	886781.5	878499.7	1.49	4285248.3	878733.6	870103.6	1.10	null	null	3425525.9	825591.1		859722.4		25.1	156.2		4.8		true		3425525.9		859722.4		25.1	-6.37			0	2			
248	3449.0	3449	-0	334	23612354.3	1180507.2	1152496.4	1.04	23683216.4	1238916.9	1211532.1	1.06	22059971.5	1052537.2	21877235.9	1046251.1	1623245.0	1805980.6	7.4	8.3	334.2	50.9	10.2	true	true	22059971.5	21877235.9	1623245.0	1805980.6	7.4	8.3	-31.06			0	1			
249	6333.0	6488	2	608	50648177.5	4013143.0	3944639.9	1.17	49492923.9	3676731.4	3604514.9	1.16	64824720.5	4559329.7	66983775.1	5090248.3	-15331796.6	-17490851.3	-23.7	-26.1	608.0	92.7	18.5	true	true	64824720.5	66983775.1	-15331796.6	-17490851.3	-23.7	-26.1	-23.49			1	2		1,2	1,2
250	6303.0	5063	-20	530	28912371.6	2731744.2	2685550.9	1.45	31150835.2	2779457.3	2732146.8	1.15	30265392.2	3071543.4	30291524.1	3054794.8	885443.1	859311.1	2.9	2.8	530.5	80.8	16.2	true	true	30265392.2	30291524.1	885443.1	859311.1	2.9	2.8	-19.92			1	2		0,1,2	0,1,2
251	2612.0	2612	0	379	16814494.5	1021017.6	991287.4	1.32	16621038.3	1023762.9	994919.7	1.24	22956276.7	1255243.0	23005150.3	1292744.4	-6335238.4	-6384112.0	-27.6	-27.8	379.5	57.8	11.6	true	true	22956276.7	23005150.3	-6335238.4	-6384112.0	-27.6	-27.8	-24.35		1,2	2	0		0,2	
252	4298.0	4298	0	201	6487098.3	869168.4	865744.1	2.00	6914755.5	1056295.1	945540.5	1.40	0.0	0.0	6690158.0	923542.6	6914755.5	224597.5	Infinity	3.4	201.4	30.7	6.1	false	true		6690158.0		224597.5		3.4	-6.31			0	2			
253	4723.0	4746	0	287	17729000.9	1367187.3	1360168.5	3.35	18022478.6	1486230.1	1506013.4	2.36	null	null	13045674.0	1276598.5		4976804.6		38.1	286.6		8.7		true		13045674.0		4976804.6		38.1	-14.93			0	2			
254	5177.0	5258	2	205	12503638.9	1084202.3	1078634.4	1.90	12936457.1	1283692.6	1260206.7	1.75	104595.9	31430.6	12120428.8	1261529.1	12831861.2	816028.2	12268.0	6.7	205.2	31.3	6.3	false	true		12120428.8		816028.2		6.7	-13.34			1	2			
255	3227.0	4434	37	648	17228953.0	2884379.1	2873047.8	2.48	16677967.8	2783033.8	2770267.5	1.94	2401.2	1679.2	6822129.1	1177570.7	16675566.6	9855838.7	694478.9	144.5	647.9	98.7	19.7	false	true		6822129.1		9855838.7		144.5	-9.28			1	2			
257	2723.0	2755	1	229	6786104.4	642615.7	629740.3	1.39	6525051.3	635984.4	625697.3	1.37	4954.3	3616.7	6137798.4	675972.9	6520097.0	387252.9	131603.9	6.3	228.6	34.8	7.0	false	true		6137798.4		387252.9		6.3	-11.45			1	2			
258	4295.0	4044	-6	364	11723883.2	1494192.4	1473120.4	1.93	11931137.4	1592738.8	1575296.8	1.77	503897.5	67295.9	9212599.6	1610279.4	11427239.9	2718537.7	2267.8	29.5	364.3	55.5	11.1	false	true		9212599.6		2718537.7		29.5	-13.23			0	1		1	1
259	3086.0	3878	26	306	6867234.1	1202623.6	1185908.4	1.54	6720531.7	1181005.1	1163917.0	1.43	568926.6	83484.8	3367891.2	668438.2	6151605.2	3352640.5	1081.3	99.5	305.8	46.6	9.3	false	true		3367891.2		3352640.5		99.5	-9.05			1	0			
260	2146.0	6586	207	4206	88146304.5	27700261.1	27699879.9	1.25	86399469.9	27738934.9	27738557.7	1.04	null	null	78263413.6	26214402.1		8136056.3		10.4	4205.7		128.2		true		78263413.6		8136056.3		10.4	-3.82			1	0			
